col1,col2,col3,label
,0.014000000432133675,14.0,0
,0.014000000432133675,14.0,0
,0.0,0.0,0
,0.04399999976158142,47.0,0
1.0,0.03400000184774399,1532.0,0
1.0,0.03400000184774399,1532.0,0
,0.19599999487400055,420.0,0
,0.12700000405311584,214.0,0
,0.29100000858306885,179.0,1
,0.04899999871850014,60.0,0
0.0,0.08399999886751175,131.0,0
,0.05900000035762787,311.0,0
,0.03500000014901161,30.0,0
,0.13899999856948853,1917.0,1
,0.05900000035762787,3547.0,0
0.0,0.028999999165534973,16.0,0
0.0,0.03099999949336052,83.0,1
1.0,0.5099999904632568,246.0,0
,0.19300000369548798,85.0,0
,0.19300000369548798,85.0,0
,,41.0,0
,0.08399999886751175,129.0,0
,0.08399999886751175,129.0,0
0.0,,38.0,0
0.0,,32.0,0
,0.05299999937415123,49.0,0
,0.0,790.0,0
1.0,,68.0,0
,0.052000001072883606,127.0,0
,0.04800000041723251,0.0,0
,,818.0,0
,0.10499999672174454,218.0,0
,0.10499999672174454,218.0,0
,0.0,11.0,0
,,911.0,0
,0.06499999761581421,44.0,0
1.0,0.0,596.0,0
,0.06700000166893005,2159.0,0
,0.032999999821186066,60.0,0
,0.04100000113248825,72.0,0
,0.029999999329447746,817.0,0
,,6272.0,0
,0.15199999511241913,76.0,0
,0.07100000232458115,130.0,0
,0.07100000232458115,130.0,0
1.0,,29.0,0
,0.1509999930858612,12170.0,0
,0.026000000536441803,53.0,0
,0.03500000014901161,4017.0,0
,0.061000000685453415,50.0,0
,0.013000000268220901,22.0,0
1.0,0.03999999910593033,214.0,0
1.0,,114.0,0
,,7929.0,0
,0.08500000089406967,64.0,0
,0.19200000166893005,229.0,0
,,3285.0,0
,0.07599999755620956,117.0,0
,0.09300000220537186,1373.0,0
0.0,0.04899999871850014,32.0,0
,0.04699999839067459,168.0,0
1.0,0.16099999845027924,232.0,1
1.0,0.16099999845027924,232.0,1
1.0,0.16099999845027924,232.0,1
,0.08500000089406967,64.0,0
0.0,,101.0,0
,,541.0,0
,0.1120000034570694,216.0,0
,0.05400000140070915,9.0,0
,0.12399999797344208,907.0,0
